R,k,Tension,,,,,,,,,
0.0010,0.0596,0.00500,,,,,,,,,
0.0011,0.0655,0.00500,,,,,,,,,
0.0012,0.0714,0.00500,,,,,,,,,
0.0013,0.0773,0.00500,,,,,,,,,
0.0014,0.0832,0.00500,,,,,,,,,
0.0015,0.0890,0.00500,,,,,,,,,
0.0016,0.0949,0.00500,,,,,,,,,
0.0017,0.1008,0.00500,,,,,,,,,
0.0018,0.1066,0.00500,,,,,,,,,
0.0019,0.1125,0.00500,,,,,,,,,
0.0020,0.1183,0.00500,,,,,,,,,
0.0021,0.1241,0.00500,,,,,,,,,
0.0022,0.1300,0.00500,,,,,,,,,
0.0023,0.1358,0.00500,,,,,,,,,
0.0024,0.1416,0.00500,,,,,,,,,
0.0025,0.1474,0.00500,,,,,,,,,
0.0026,0.1531,0.00500,,,,,,,,,
0.0027,0.1589,0.00500,,,,,,,,,
0.0028,0.1647,0.00500,,,,,,,,,
0.0029,0.1704,0.00500,,,,,,,,,
0.0030,0.1762,0.00500,,,,,,,,,
0.0031,0.1819,0.00500,,,,,,,,,
0.0032,0.1877,0.00500,,,,,,,,,
0.0033,0.1934,0.00500,,,,,,,,,
0.0034,0.1991,0.00500,,,,,,,,,
0.0035,0.2048,0.00500,,,,,,,,,
0.0036,0.2105,0.00500,,,,,,,,,
0.0037,0.2162,0.00500,,,,,,,,,
0.0038,0.2219,0.00500,,,,,,,,,
0.0039,0.2276,0.00500,,,,,,,,,
0.0040,0.2332,0.00500,,,,,,,,,
0.0041,0.2389,0.00500,,,,,,,,,
0.0042,0.2445,0.00500,,,,,,,,,
0.0043,0.2502,0.00500,,,,,,,,,
0.0044,0.2558,0.00500,,,,,,,,,
0.0045,0.2614,0.00500,,,,,,,,,
0.0046,0.2670,0.00500,,,,,,,,,
0.0047,0.2726,0.00500,,,,,,,,,
0.0048,0.2782,0.00500,,,,,,,,,
0.0049,0.2838,0.00500,,,,,,,,,
0.0050,0.2894,0.00500,,,,,,,,,
