Number of bars,#3,#4,#5,#6,#7,#8,#9,#10,#11
1,0.11,0.20,0.31,0.44,0.60,0.79,1.00,1.27,1.56
2,0.22,0.40,0.62,0.88,1.20,1.58,2.00,2.54,3.12
3,0.33,0.60,0.93,1.32,1.80,2.37,3.00,3.81,4.68
4,0.44,0.80,1.24,1.76,2.40,3.16,4.00,5.08,6.24
5,0.55,1.00,1.55,2.20,3.00,3.93,5.00,6.35,7.80
6,0.66,1.20,1.86,2.64,3.60,4.74,6.00,7.62,9.36
7,0.77,1.40,2.17,3.08,4.20,5.53,7.00,8.89,10.9
8,0.88,1.60,2.48,3.52,4.80,6.32,8.00,10.2,12.5
9,0.99,1.80,2.79,3.96,5.40,7.11,9.00,11.4,14.0
10,1.10,2.00,3.10,4.40,6.00,7.90,10.0,12.7,15.6
11,1.21,2.20,3.41,4.84,6.60,8.69,11.0,14.0,17.2
12,1.32,2.40,3.72,5.28,7.20,9.48,12.0,15.2,18.7
13,1.43,2.60,4.03,5.72,7.80,10.3,13.0,16.5,20.3
14,1.54,2.80,4.34,6.16,8.40,11.1,14.0,17.8,21.8
15,1.65,3.00,4.65,6.60,9.00,11.8,15.0,19.0,23.4
16,1.76,3.20,4.96,7.04,9.60,12.6,16.0,20.3,25.0
17,1.87,3.40,5.27,7.48,10.2,13.4,17.0,21.6,26.5
18,1.98,3.60,5.58,7.92,10.8,14.2,18.0,22.9,28.1
19,2.09,3.80,5.89,8.36,11.4,15.0,19.0,24.1,29.6
20,2.20,4.00,6.20,8.80,12.0,15.8,20.0,25.4,31.2
