fy,fc,min,R,k
40000,3000,0.0050,0.0135,0.4828
40000,4000,0.0050,0.0180,0.6438
40000,5000,0.0053,0.0225,0.8047
40000,6000,0.0058,0.0270,0.9657
50000,3000,0.0040,0.0108,0.4828
50000,4000,0.0040,0.0144,0.6438
50000,5000,0.0042,0.0180,0.8047
50000,6000,0.0046,0.0216,0.9657
60000,3000,0.0033,0.0090,0.4828
60000,4000,0.0033,0.0120,0.6438
60000,5000,0.0035,0.0150,0.8047
60000,6000,0.0039,0.0180,0.9657
75000,3000,0.0027,0.0072,0.4828
75000,4000,0.0027,0.0096,0.6438
75000,5000,0.0028,0.0120,0.8047
75000,6000,0.0031,0.0144,0.9657
