R,k,Tension
0.0010,0.0398,0.00500
0.0011,0.0437,0.00500
0.0012,0.0477,0.00500
0.0013,0.0516,0.00500
0.0014,0.0555,0.00500
0.0015,0.0595,0.00500
0.0016,0.0634,0.00500
0.0017,0.0673,0.00500
0.0018,0.0712,0.00500
0.0019,0.0752,0.00500
0.0020,0.0791,0.00500
0.0021,0.0830,0.00500
0.0022,0.0869,0.00500
0.0023,0.0908,0.00500
0.0024,0.0946,0.00500
0.0025,0.0985,0.00500
0.0026,0.1024,0.00500
0.0027,0.1063,0.00500
0.0028,0.1102,0.00500
0.0029,0.1140,0.00500
0.0030,0.1179,0.00500
0.0031,0.1217,0.00500
0.0032,0.1256,0.00500
0.0033,0.1294,0.00500
0.0034,0.1333,0.00500
0.0035,0.1371,0.00500
0.0036,0.1410,0.00500
0.0037,0.1448,0.00500
0.0038,0.1486,0.00500
0.0039,0.1524,0.00500
0.0040,0.1562,0.00500
0.0041,0.1600,0.00500
0.0042,0.1638,0.00500
0.0043,0.1676,0.00500
0.0044,0.1714,0.00500
0.0045,0.1752,0.00500
0.0046,0.1790,0.00500
0.0047,0.1828,0.00500
0.0048,0.1866,0.00500
0.0049,0.1904,0.00500
0.0050,0.1941,0.00500
0.0051,0.1979,0.00500
0.0052,0.2016,0.00500
0.0053,0.2054,0.00500
0.0054,0.2091,0.00500
0.0055,0.2129,0.00500
0.0056,0.2166,0.00500
0.0057,0.2204,0.00500
0.0058,0.2241,0.00500
0.0059,0.2278,0.00500
0.0060,0.2315,0.00500
0.0061,0.2352,0.00500
0.0062,0.2390,0.00500
0.0063,0.2427,0.00500
0.0064,0.2464,0.00500
0.0065,0.2501,0.00500
0.0066,0.2538,0.00500
0.0067,0.2574,0.00500
0.0068,0.2611,0.00500
0.0069,0.2648,0.00500
0.0070,0.2685,0.00500
0.0071,0.2721,0.00500
0.0072,0.2758,0.00500
0.0073,0.2795,0.00500
0.0074,0.2831,0.00500
0.0075,0.2868,0.00500
0.0076,0.2904,0.00500
0.0077,0.2941,0.00500
0.0078,0.2977,0.00500
0.0079,0.3013,0.00500
0.0080,0.3049,0.00500
0.0081,0.3086,0.00500
0.0082,0.3122,0.00500
0.0083,0.3158,0.00500
0.0084,0.3194,0.00500
0.0085,0.3230,0.00500
0.0086,0.3266,0.00500
0.0087,0.3302,0.00500
0.0088,0.3338,0.00500
0.0089,0.3374,0.00500
0.0090,0.3409,0.00500
0.0091,0.3445,0.00500
0.0092,0.3481,0.00500
0.0093,0.3517,0.00500
0.0094,0.3552,0.00500
0.0095,0.3588,0.00500
0.0096,0.3623,0.00500
0.0097,0.3659,0.00500
0.0098,0.3694,0.00500
0.0099,0.3729,0.00500
0.0100,0.3765,0.00500
0.0101,0.3800,0.00500
0.0102,0.3835,0.00500
0.0103,0.3870,0.00500
0.0104,0.3906,0.00500
0.0105,0.3941,0.00500
0.0106,0.3976,0.00500
0.0107,0.4011,0.00500
0.0108,0.4046,0.00500
0.0109,0.4080,0.00500
0.0110,0.4115,0.00500
0.0111,0.4150,0.00500
0.0112,0.4185,0.00500
0.0113,0.4220,0.00500
0.0114,0.4254,0.00500
0.0115,0.4289,0.00500
0.0116,0.4323,0.00500
0.0117,0.4358,0.00500
0.0118,0.4392,0.00500
0.0119,0.4427,0.00500
0.0120,0.4461,0.00500
0.0121,0.4495,0.00500
0.0122,0.4530,0.00500
0.0123,0.4564,0.00500
0.0124,0.4598,0.00500
0.0125,0.4632,0.00500
0.0126,0.4666,0.00500
0.0127,0.4701,0.00500
0.0128,0.4735,0.00500
0.0129,0.4768,0.00500
0.0130,0.4802,0.00500
0.0131,0.4836,0.00500
0.0132,0.4870,0.00500
0.0133,0.4904,0.00500
0.0134,0.4938,0.00500
0.0135,0.4971,0.00500
0.0136,0.5005,0.00500
0.0137,0.5038,0.00500
0.0138,0.5072,0.00500
0.0139,0.5105,0.00500
0.0140,0.5139,0.00500
0.0141,0.5172,0.00500
0.0142,0.5206,0.00500
0.0143,0.5239,0.00500
0.0144,0.5272,0.00500
0.0145,0.5305,0.00500
0.0146,0.5338,0.00500
0.0147,0.5372,0.00500
0.0148,0.5405,0.00500
0.0149,0.5438,0.00500
0.0150,0.5471,0.00500
0.0151,0.5504,0.00500
0.0152,0.5536,0.00500
0.0153,0.5569,0.00500
0.0154,0.5602,0.00500
0.0155,0.5635,0.00500
0.0156,0.5667,0.00500
0.0157,0.5700,0.00500
0.0158,0.5733,0.00500
0.0159,0.5765,0.00500
0.0160,0.5798,0.00500
0.0161,0.5830,0.00500
0.0162,0.5863,0.00500
0.0163,0.5895,0.00500
0.0164,0.5927,0.00500
0.0165,0.5959,0.00500
0.0166,0.5992,0.00500
0.0167,0.6024,0.00500
0.0168,0.6056,0.00500
0.0169,0.6088,0.00500
0.0170,0.6120,0.00500
0.0171,0.6152,0.00500
0.0172,0.6184,0.00500
0.0173,0.6216,0.00500
0.0174,0.6248,0.00500
0.0175,0.6279,0.00500
0.0176,0.6311,0.00500
0.0177,0.6343,0.00500
0.0178,0.6375,0.00500
0.0179,0.6406,0.00500
0.0180,0.6438,0.00500
0.0181,0.6469,0.00500
0.0182,0.6501,0.00500
0.0183,0.6532,0.00500
0.0184,0.6563,0.00500
0.0185,0.6595,0.00500
0.0186,0.6626,0.00500
0.0187,0.6657,0.00500
0.0188,0.6688,0.00500
0.0189,0.6720,0.00500
0.0190,0.6751,0.00500
0.0191,0.6782,0.00500
0.0192,0.6813,0.00500
0.0193,0.6844,0.00500
0.0194,0.6875,0.00500
0.0195,0.6905,0.00500
0.0196,0.6936,0.00500
0.0197,0.6967,0.00500
0.0198,0.6998,0.00500
0.0199,0.7029,0.00500
0.0200,0.7059,0.00500
0.0201,0.7090,0.00500
0.0202,0.7120,0.00500
0.0203,0.7151,0.00500
0.0204,0.7181,0.00500
0.0205,0.7212,0.00500
0.0206,0.7242,0.00500
0.0207,0.7272,0.00500
0.0208,0.7302,0.00500
0.0209,0.7333,0.00500
0.0210,0.7363,0.00500
0.0211,0.7393,0.00500
0.0212,0.7423,0.00500
0.0213,0.7453,0.00500
0.0214,0.7483,0.00500
0.0215,0.7513,0.00500
0.0216,0.7543,0.00500
0.0217,0.7572,0.00500
0.0218,0.7602,0.00500
0.0219,0.7632,0.00500
0.0220,0.7662,0.00500
0.0221,0.7691,0.00500
0.0222,0.7721,0.00500
0.0223,0.7750,0.00500
0.0224,0.7780,0.00500
0.0225,0.7809,0.00500
0.0226,0.7839,0.00500
0.0227,0.7868,0.00500
0.0228,0.7897,0.00500
0.0229,0.7927,0.00500
0.0230,0.7956,0.00500
0.0231,0.7985,0.00500
0.0232,0.8014,0.00500
0.0233,0.8043,0.00500
0.0234,0.8072,0.00500
0.0235,0.8101,0.00500
0.0236,0.8130,0.00500
0.0237,0.8159,0.00500
0.0238,0.8188,0.00500
0.0239,0.8217,0.00500
0.0240,0.8245,0.00500
0.0241,0.8274,0.00500
0.0242,0.8303,0.00500
0.0243,0.8331,0.00500
0.0244,0.8360,0.00500
0.0245,0.8388,0.00500
0.0246,0.8417,0.00500
0.0247,0.8445,0.00500
0.0248,0.8473,0.00500
0.0249,0.8502,0.00500
0.0250,0.8530,0.00500
0.0251,0.8558,0.00500
0.0252,0.8586,0.00500
0.0253,0.8615,0.00500
0.0254,0.8643,0.00500
0.0255,0.8671,0.00500
0.0256,0.8699,0.00500
0.0257,0.8727,0.00500
0.0258,0.8754,0.00500
0.0259,0.8782,0.00500
0.0260,0.8810,0.00500
0.0261,0.8838,0.00500
0.0262,0.8865,0.00500
0.0263,0.8893,0.00500
0.0264,0.8921,0.00500
0.0265,0.8948,0.00500
0.0266,0.8976,0.00500
0.0267,0.9003,0.00500
0.0268,0.9031,0.00500
0.0269,0.9058,0.00500
0.0270,0.9085,0.00500
0.0271,0.9113,0.00500
0.0272,0.9140,0.00497
0.0273,0.9167,0.00494
0.0274,0.9194,0.00491
0.0275,0.9221,0.00488
0.0276,0.9248,0.00485
0.0277,0.9275,0.00482
0.0278,0.9302,0.00480
0.0279,0.9329,0.00477
0.0280,0.9356,0.00474
0.0281,0.9383,0.00471
0.0282,0.9410,0.00469
0.0283,0.9436,0.00466
0.0284,0.9463,0.00463
0.0285,0.9490,0.00461
0.0286,0.9516,0.00458
0.0287,0.9543,0.00455
0.0288,0.9569,0.00453
0.0289,0.9596,0.00450
0.0290,0.9622,0.00447
0.0291,0.9648,0.00445
0.0292,0.9675,0.00442
0.0293,0.9701,0.00440
0.0294,0.9727,0.00437
